,asclepius_pct (N=210),apollo_pct (N=490),jupiter_pct (N=2868),LIRE_all_pct (N=137305)
votive inscription,89.34,81.05,97.77,13.47
building/dedicatory inscription,5.08,2.74,1.67,2.79
epitaph,4.06,10.27,0.11,63.82
honorific inscription,1.02,2.74,0.21,4.76
defixio,0.51,0.0,0.04,0.25
rest,0.0,3.21,0.24,14.920000000000002
